P (GPa),T (kK),p_lo_err,p_hi_err,t_lo_err,t_hi_err
5.067,0.288,0,0,0,0
5.229,0.303,0,0,0,0
5.387,0.311,0,0,0,0
5.55,0.316,0,0,0,0
5.713,0.322,0,0,0,0
5.902,0.323,0,0,0,0
6.101,0.323,0,0,0,0
6.307,0.347,0,0,0,0
6.483,0.347,0,0,0,0
6.712,0.355,0,0,0,0
6.916,0.361,0,0,0,0
7.125,0.368,0,0,0,0
7.341,0.376,0,0,0,0
7.564,0.384,0,0,0,0
7.793,0.385,0,0,0,0
8.029,0.39,-0.011067731,0.011067731,-0.001383466,0.001383466
8.273,0.395,-0.02251064,0.02251064,-0.00281383,0.00281383
8.545,0.39,-0.035266669,0.035266669,-0.004408334,0.004408334
8.884,0.393,-0.051164808,0.051164808,-0.006395601,0.006395601
9.184,0.416,-0.065233958,0.065233958,-0.008154245,0.008154245
9.546,0.439,-0.082210732,0.082210732,-0.010276342,0.010276342
9.868,0.439,-0.09731162,0.09731162,-0.012163952,0.012163952
10.185,0.458,-0.112178022,0.112178022,-0.014022253,0.014022253
10.505,0.484,-0.127185115,0.127185115,-0.015898139,0.015898139
10.824,0.503,-0.142145311,0.142145311,-0.017768164,0.017768164
11.152,0.518,-0.157527581,0.157527581,-0.019690948,0.019690948
11.49,0.538,-0.173378824,0.173378824,-0.021672353,0.021672353
11.838,0.558,-0.189699037,0.189699037,-0.02371238,0.02371238
12.197,0.572,-0.20653512,0.20653512,-0.02581689,0.02581689
12.567,0.593,-0.223887072,0.223887072,-0.027985884,0.027985884
12.947,0.612,-0.241707995,0.241707995,-0.030213499,0.030213499
13.34,0.628,-0.260138581,0.260138581,-0.032517323,0.032517323
13.744,0.647,-0.279085036,0.279085036,-0.03488563,0.03488563
14.161,0.667,-0.298641155,0.298641155,-0.037330144,0.037330144
14.59,0.685,-0.318760039,0.318760039,-0.039845005,0.039845005
15.033,0.7,-0.339535484,0.339535484,-0.042441935,0.042441935
