x,T
0,3272.727
0.002,4174.785
0.003,4432.243
0.004,4701.852
0.006,5033.455
0.007,5251.91
0.009,5468.441
0.012,5684.252
0.015,5912.628
0.019,6140.497
0.022,6371.845
0.027,6573.686
0.031,6813.037
0.035,7016.176
0.039,7216.897
0.043,7431.787
0.048,7651.991
0.053,7870.632
0.058,8090.15
0.064,8309.438
0.07,8528.052
0.077,8742.003
0.084,8942.5
0.092,9164.285
0.101,9370.754
0.109,9569.345
0.119,9758.703
0.128,9934.522
0.137,10093.416
0.146,10241.31
0.156,10373.971
0.165,10494.786
0.174,10607.985
0.183,10711.875
0.193,10804.765
0.202,10894.27
0.211,10972.774
0.22,11049.585
0.23,11118.781
0.239,11182.053
0.248,11240.248
0.257,11296.75
0.267,11349.022
0.276,11400.447
0.285,11444.256
0.296,11490.285
0.308,11531.786
0.317,11560.364
0.326,11604.173
0.335,11646.29
0.345,11679.098
0.354,11708.522
0.363,11737.945
0.372,11763.138
0.382,11792.561
0.391,11818.6
0.4,11845.485
0.409,11868.139
0.419,11893.331
0.428,11919.37
0.437,11942.024
0.446,11963.832
0.456,11986.486
0.465,12010.832
0.474,12034.332
0.483,12054.447
0.493,12078.793
0.502,12098.062
0.511,12121.563
0.52,12133.055
0.53,12210.01
0.54,12203.892
0.549,12232.469
0.558,12256.816
0.567,12282.008
0.577,12308.047
0.586,12331.547
0.595,12353.355
0.604,12376.009
0.614,12402.047
0.623,12421.316
0.632,12440.585
0.641,12456.469
0.651,12468.969
0.66,12484.007
0.669,12494.814
0.678,12494.62
0.688,12494.426
0.697,12486.616
0.706,12483.037
0.715,12470.15
0.725,12454.724
0.734,12436.76
0.743,12403.563
0.752,12361.905
0.761,12310.938
0.771,12246.432
0.78,12164.155
0.789,12052.261
0.798,11905.672
0.807,11716.527
0.815,11512.05
0.821,11309.47
0.826,11096.823
0.83,10846.647
0.834,10620.378
0.837,10389.159
0.839,10170.375
0.841,9946.605
0.844,9697.088
0.845,9492.278
0.847,9287.682
0.849,9025.998
0.851,8775.411
0.852,8577.737
0.854,8358.022
0.855,8097.364
0.856,7836.707
0.858,7550.771
0.859,7286.123
0.86,6885.635
0.86,6308.499
0.861,6589.296
0.861,6043.191
0.861,5343.513
0.861,5768.281
0.861,5563.497
0.866,5106.623
0.875,4982.881
0.884,4944.608
0.893,4921.566
0.903,4906.986
0.912,4903.408
0.921,4885.443
0.93,4881.018
0.94,4865.593
0.949,4851.013
0.958,4837.28
0.968,4839.826
0.977,4777.146
0.986,4758.846
0.996,4672.52
